id_mzml,id_molecule,source,retention_time_exp,retention_time,rt_diff,tic,mass_exp,mass,cosine_similarity_20,scholle_similarity_20,cosine_similarity_40,scholle_similarity_40,root_similarity_20,root_similarity_40,cosine_similarity_isotopic_mod,num_isotopic_exp_peaks,num_isotopic_the_peaks,acquisition_mode,niveau_de_confiance,found_peaks_isotopic,niveau_de_confiance_1
1,808,Agilent,9.5897,,,126348.015625,283.954392216442,283.95388,0.8871268964108879,0.9569310773443921,0.4086992462859471,0.5988377587460071,0.9214558374273559,0.7268132620731509,0.999251456918163,7,8,Data independant,2B,1,1
40,310,Agilent,8.758016666667,,,74377.21875,270.1012297388,270.10044,0.9881808338045991,0.9865964439748199,0.9805491411996641,0.981782690389342,0.982866330428634,0.9434590841706221,0.979021541506984,3,4,Data independant,2B,1,1
34,161,INERIS,6.3366,6.494,-0.1574,40887.2421875,323.094053931724,323.09398,0.999399304910557,0.999006794846169,0.5720817899917061,0.636242480635286,0.9994484151205542,0.771562967579104,0.983042386481843,1,5,Data independant,2A,0,1
85,202,INERIS,7.529783333333,7.749,-0.2192166666670001,27280.625,313.980528628462,313.98009,0.447812870307973,0.671299671487736,0.299922265789748,0.173996261848946,0.804490879816383,0.583929304764951,0.9959711771476372,2,3,Data independant,1,1,1
70,96,INERIS,12.9774,13.038,-0.06060000000000088,27863.072265625,394.073060257579,394.07407,0.999397820765572,0.9990387168090992,0.9937528940281201,0.9935449184747629,0.9991589506046159,0.9981949253430671,0.9926659395872409,2,4,Data independant,1,1,1
50,202,INERIS,7.48105,7.749,-0.2679499999999999,25039.73828125,313.979668971651,313.98009,0.418723173724274,0.647211383507773,0.363257363382978,0.209162070258166,0.7924434079117109,0.6171417156020921,0.9959711771476372,2,3,Data independant,1,1,1
54,195,INERIS,6.150033333333,6.335,-0.184966666667,19273.345703125,299.950272834347,299.95027,1.0,1.0,0.991520355823154,0.987806298620359,1.0,0.9937077932055319,0.709467697809047,2,4,Data independant,1,1,1
77,207,INERIS,9.848866666667,10.031,-0.1821333333330006,4710.16748046875,413.972192145052,413.9737,0.9735935600272522,0.950968080872563,0.962559038957475,0.962449075024675,0.9258105726966039,0.969885361006143,0.9961746104970709,1,3,Data independant,1,0,1
79,35,INERIS,4.53225,4.584,-0.0517499999999993,9915.3310546875,240.057044581019,240.05686,0.9136183163374731,0.9419456664211581,0.178612121386452,0.181499093602102,0.841369884992734,0.4526211219727871,0.988267587911262,3,4,Data independant,1,1,1
64,145,INERIS,15.7864,15.805,-0.01859999999999928,3018452.25,530.471176593242,530.4699,0.999608112953269,0.9996316761885851,0.7841214794751892,0.9043952266342671,0.982322678825063,0.5910250424019511,0.9999420792611009,5,5,Data independant,1,1,1
18,40,INERIS,12.569616666667,12.836,-0.2663833333329997,277957.53125,325.224638153644,325.22531,0.952661509964914,0.978934238365293,0.371286948550127,0.33725686554348,0.9421448767572221,0.7253807646609691,0.9906612055026109,2,4,Data independant,1,1,1
60,142,INERIS,10.077283333333,10.175,-0.09771666666700085,371846.40625,428.231658219569,428.2324599999999,0.856650461462616,0.866488182293476,0.992955598337729,0.9993749907421251,0.949930743210698,0.942287226331518,0.9999251645513259,4,4,Data independant,1,1,1
64,210,INERIS,4.304033333333,4.47,-0.1659666666669999,1802.12255859375,263.982746275667,263.98328,,,0.483583126185641,0.28106455736206,,0.6281711036057239,0.998479231528137,1,3,Data independant,2A,0,1
28,981,Agilent,12.029783333333,,,23229.884765625,403.115386221166,403.11682,0.958351599092933,0.9665005806583291,0.0524696749248285,0.107430777205523,0.8576489839216371,0.25277367743579,0.9869669574202171,2,4,Data independant,2B,1,1
1,89,INERIS,12.855633333333,12.995,-0.1393666666669979,1590861.5,278.152531236365,278.15181,0.973194132993456,0.9952461090342759,0.6290070974889971,0.823160688284398,0.9695427730541291,0.8551100987096121,0.9998661439054691,3,4,Data independant,1,1,1
28,1221,Agilent,12.582683333333,,,195523.75,326.069526536208,326.0708,0.9400363270318051,0.9827044967356681,0.864683274913475,0.8209554787840051,0.8573174925169909,0.8683242611505041,0.9996175936290291,3,4,Data independant,2B,1,1
22,353,Agilent,11.07695,,,1069201.375,222.089072423823,222.08921,0.588422999315211,0.758771597098798,0.823298382121024,0.7299585121853169,0.7097537343278929,0.920355127122896,0.9999467107608341,4,4,Data independant,2B,1,1
85,209,INERIS,10.525733333333,10.417,0.1087333333329994,109982.5625,499.937412891697,499.93749,1.0,1.0,0.86904511056987,0.993185180673923,1.0,0.9479180042886809,0.9967826182208109,3,4,Data independant,2A,1,1
10,271,INERIS,11.012483333333,11.383,-0.3705166666669975,2135786.75,263.188678639303,263.18853,1.0,1.0,1.0,1.0,1.0,1.0,0.9999232222148231,3,4,Data independant,2A,1,1
36,613,Agilent,9.160383333333,,,157667.328125,255.007825647038,255.00785,0.999050038066252,0.9994953472048521,0.134702567247445,0.302051072386591,0.960068532904462,0.560760959816495,0.999975343842989,6,6,Data independant,2B,1,1
52,960,Agilent,6.536066666667,,,44360.9921875,330.007401271706,330.00772,0.948790163552845,0.920570181459696,0.7508067904461341,0.7807281724120021,0.925290188211884,0.798498649062133,0.997082244153886,4,6,Data independant,2B,1,1
12,873,Agilent,12.603916666667,,,1501821.0,296.048223813575,296.04832,0.91252532180538,0.930518448524022,0.6053855495794649,0.816544804459616,0.9678388661301601,0.813438820000313,0.999845479143528,6,7,Data independant,2B,1,1
18,141,INERIS,10.12655,10.175,-0.04845000000000077,2271273.0,428.233700108387,428.2324599999999,0.957419759723381,0.901023540130546,0.9733497153408851,0.9826932715239841,0.973887915354586,0.9243680077995621,0.999929285958702,4,4,Data independant,1,1,1
75,740,Agilent,8.836633333333,,,428221.96875,282.060977040381,282.06161,0.997384885785611,0.9966362890873741,0.5121864677199001,0.844545335642255,0.9859124518149279,0.823185004182293,0.9998592081440172,3,4,Data independant,2B,1,1
10,243,INERIS,7.720766666667,7.872999999999999,-0.1522333333329993,178589.9375,272.11945889398,272.11946,0.9074029279185191,0.962878669045337,0.367086159157118,0.351489512775972,0.875514992173236,0.660895957304958,0.9131598932005041,3,4,Data independant,1,1,1
16,981,Agilent,12.033016666667,,,46889.484375,403.116265564937,403.11682,0.972936760417526,0.978706491593519,0.0906072277573136,0.215081695341884,0.8717885319679101,0.356290726750021,0.9869669574202171,2,4,Data independant,2B,1,1
52,1292,Agilent,6.7418,,,176419.78125,308.035613881961,308.03546,0.9830053684364441,0.9910566980908739,0.533790731427689,0.230019703330641,0.9126900900540509,0.768879758632494,0.988876183699432,4,5,Data independant,2B,1,1
34,1072,Agilent,10.335433333333,,,140317.15625,328.144979786612,328.14568,0.991797879116449,0.9919748257853371,0.348069757397935,0.664763224236844,0.9646505328813191,0.586703970513188,0.9843770180156691,4,5,Data independant,2B,1,1
32,978,Agilent,11.4011,,,229642.59375,326.000631305112,326.00083,0.921556695579642,0.9452169628755359,0.9988117488088979,0.9989645395177479,0.876217434160295,0.9764901568774359,0.9997356159958399,7,8,Data independant,2B,1,1
10,1154,Agilent,12.5683,,,66862.7734375,321.058105231345,321.05903,0.957899105667598,0.9609600589243209,0.234880611685724,0.292083523942654,0.9706514219562971,0.613548646539929,0.998206153935295,4,6,Data independant,2B,1,1
85,92,INERIS,8.982766666667,9.133,-0.1502333333329986,11749.310546875,295.016751244593,295.01668,0.7639133075840491,0.7964118250221031,0.502963241386984,0.5187864384827671,0.840211068529135,0.389864769030456,0.9994844965249059,5,7,Data independant,1,1,1
83,284,INERIS,7.854466666667,8.002,-0.1475333333330004,49339.046875,435.226632524051,435.22704,0.8626415472209041,0.9187661029825541,0.5399342177240251,0.763855480040719,0.8321170016111179,0.725781811686898,0.999589073601848,3,4,Data independant,1,1,1
50,740,Agilent,8.8055,,,435072.03125,282.061549507949,282.06161,0.9978015395127091,0.9971663422602559,0.692320611824017,0.921773776948181,0.987689421481597,0.8709495267995021,0.999873287191506,4,4,Data independant,2B,1,1
16,243,INERIS,7.712666666667,7.872999999999999,-0.160333333332999,269578.21875,272.118813361155,272.11946,0.906472631795657,0.9617383037573171,0.401273000279041,0.376942758689466,0.874598406932571,0.675865541896204,0.9184583007813901,3,4,Data independant,1,1,1
28,89,INERIS,12.878416666667,12.995,-0.1165833333330006,1580798.875,278.153519433216,278.15181,0.963552616026058,0.9935649110836491,0.691206433155227,0.872446942183225,0.963576219989658,0.87398416953127,0.999905341065563,3,4,Data independant,1,1,1
